certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A4174,producto001,10/16/1988,2/28/2020,3/4/2024,3,4,PEN,41076.35312,650.37566,65.037566,50,F
A4175,producto001,8/24/1996,2/27/2020,3/4/2025,3,5,PEN,45629.93402,864.70318,86.470318,50,F
A4176,producto001,4/14/1978,2/29/2020,4/4/2023,3,3,PEN,29223.03208,383.94488,38.394488,50,F
A4177,producto001,6/30/1987,2/26/2020,3/4/2024,3,4,PEN,36660.14946,580.26012,58.026012,50,F
A4178,producto001,5/9/1971,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4179,producto001,2/13/1990,2/28/2020,4/4/2023,3,3,PEN,42982.53212,564.94658,56.494658,50,F
A4180,producto001,11/23/1988,3/2/2020,3/4/2025,3,5,PEN,8692.60018,138.0907,13.80907,50,F
A4181,producto001,8/6/1995,2/20/2020,3/4/2025,3,5,PEN,42568.46682,801.13286,80.113286,50,F
A4182,producto001,3/20/1955,2/26/2020,4/4/2023,3,3,PEN,35774.23894,469.73586,46.973586,50,F
A4183,producto001,9/10/1953,3/10/2020,4/11/2025,3,5,PEN,44798.16374,832.70088,83.270088,50,F
A4184,producto001,10/25/1974,2/29/2020,3/4/2023,3,3,PEN,30416.01992,399.59964,39.959964,50,F
A4185,producto001,3/13/1989,2/29/2020,4/4/2023,3,3,PEN,39782.2711,523.28672,52.328672,50,F
A4186,producto001,8/24/1992,2/28/2020,3/4/2024,3,4,PEN,36082.47434,571.15058,57.115058,50,F
A4187,producto001,7/30/1975,2/26/2020,3/4/2025,3,5,PEN,8697.7495,138.0907,13.80907,50,F
A4188,producto001,6/4/1956,2/27/2020,3/4/2025,3,5,PEN,43995.72804,832.41136,83.241136,50,F
A4189,producto001,12/30/1975,2/28/2020,3/4/2025,3,5,PEN,43923.19294,832.44238,83.244238,50,F
A4190,producto001,3/3/1989,3/5/2020,4/4/2024,3,4,PEN,42609.10302,661.76,66.176,50,F
A4191,producto001,12/4/1990,2/25/2020,2/25/2025,3,5,PEN,45305.37176,143.9673109,14.39673109,50,F
A4192,producto001,10/28/1985,2/27/2020,3/4/2025,3,5,PEN,39584.7254,750.09462,75.009462,50,F
A4193,producto001,7/14/1991,2/28/2020,4/4/2023,3,3,PEN,40727.12996,534.70208,53.470208,50,F
A4194,producto001,3/25/1974,2/27/2020,3/4/2025,3,5,PEN,32061.8067,607.97132,60.797132,50,F
A4195,producto001,4/11/1978,3/4/2020,3/4/2025,3,4,PEN,8692.60018,138.0907,13.80907,50,F
A4196,producto001,4/30/1978,3/4/2020,4/4/2023,3,3,PEN,22789.89768,300.28394,30.028394,50,F
A4197,producto001,7/26/1984,2/28/2020,4/4/2023,3,3,PEN,43364.49172,570.16828,57.016828,50,F
A4198,producto001,2/27/1953,2/29/2020,4/4/2023,3,3,PEN,12295.99712,161.69692,16.169692,50,F
A4199,producto001,1/25/1975,2/24/2020,3/4/2024,3,4,PEN,96302.61366,1522.7718,152.27718,50,F
A4200,producto001,9/16/1984,2/27/2020,4/4/2023,3,3,PEN,22128.93386,290.7091,29.07091,50,F
A4201,producto001,11/5/1987,2/29/2020,3/4/2025,3,5,PEN,49298.60738,935.37708,93.537708,50,F
A4202,producto001,1/30/1982,2/27/2020,3/4/2025,3,5,PEN,16840.17896,319.17512,31.917512,50,F
A4203,producto001,3/12/1967,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4204,producto001,8/15/1976,2/20/2020,2/25/2023,3,3,PEN,23649.66868,310.93414,31.093414,50,F
A4205,producto001,8/27/1982,2/26/2020,3/4/2024,3,4,PEN,48899.00774,774.4143,77.44143,50,F
A4206,producto001,1/1/1991,2/25/2020,3/4/2024,3,4,PEN,35984.99916,569.41346,56.941346,50,F
A4207,producto001,1/5/1990,2/26/2020,3/4/2025,3,5,PEN,10941.36406,207.6272,20.76272,50,F
